,Name,Explanation,Action,Commonly known as,Abbrevations,See also,
,Tuberculosis,"Tuberculosis, MTB, or TB is a common, and in many cases lethal, infectious disease caused by various strains of mycobacteria, usually Mycobacterium tuberculosis. Tuberculosis typically attacks the lungs, but can also affect other parts of the body. It is spread through the air when people who have an active TB infection cough, sneeze, or otherwise transmit respiratory fluids through the air. Most infections are asymptomatic and latent, but about one in ten latent infections eventually progresses to active disease which, if left untreated, kills more than 50% of those so infected. One third of the world's population is thought to have been infected with M. tuberculosis.
The most important risk factor globally is HIV; 13% of all TB cases are infected by the virus.
Progression from TB infection to overt TB disease occurs when the bacilli overcome the immune system defenses and begin to multiply. In primary TB disease (some 1–5% of cases), this occurs soon after the initial infection. However, in the majority of cases, a latent infection occurs with no obvious symptoms. These dormant bacilli produce active tuberculosis in 5–10% of these latent cases, often many years after infection.
","Must not donate if;
a) Infected
b) Less than 24 months from confirmation of cure
c) Under follow up
",,"TB, MTB, BCG",BCG,
,Turner’s Syndrome,"Turner syndrome or Ullrich–Turner syndrome (also known as ""Gonadal dysgenesis"" encompasses several conditions in human females, of which monosomy X (absence of an entire sex chromosome, the Barr body) is most common.
Visual impairments sclera, cornea, glaucoma, etc. have been noted with this syndrome, although eye problems do not appear to be as common as in Down’s Syndrome.
",Do not donate,"Turner's Syndrome, Ullrich–Turner syndrome, Gonadal dysgenesis""",,,
,Typhoid,"Typhoid is a common worldwide bacterial disease transmitted by the ingestion of food or water contaminated with the faeces of an infected person, which contain the bacterium Salmonella enterica enterica, serovar Typhi. 
It is primarily a gastrointestinal infection that has early manifestations of high fever and bradycardia, frequently progressing to delirium and diarrhoea. Late and often fatal manifestations include dehydration, Intestinal haemorrhage or perforation, encephalitis, metastatic abscesses, cholecystitis, endocarditis and osteitis.
","Must not donate
Accept if past infection that has completely resolved
",,,,
,Typhoid Immunisation (Injected),,,,,Immunisation Non-live,
,Typhoid Immunisation (Oral),,,,,Immunisation Live,
,Ulcerative Colitis,"Ulcerative colitis is a form of colitis, a disease of the colon that includes characteristic ulcers or open sores. The main symptom of active disease is usually constant diarrhoea mixed with blood, of gradual onset.  It has similarities to Crohn's disease.
Ulcerative colitis is treated as an autoimmune disease, with anti-inflammatory drugs, immunosuppression, and biological therapy targeting specific components of the immune response.
NB: Patients may present with ophthalmic comorbidities such as iritis, uveitis and episcleritis.
There is a chance that other organs and tissues may not be accepted for donation.
",Accept if eyes uninvolved,,,Inflammatory Bowel Disease,
,Vasculitis,"Vasculitis is a group of disorders that destroy blood vessels by inflammation.
The underlying cause may be infectious. For example, the cause of syphilitic aortitis is infectious. However, the causes of many forms of vasculitis are poorly understood. There is usually an immune component, but the trigger is often not identified.
","Consider what the underlying cause may be
a) Infectious
b) Autoimmune
Accept for corneas only not sclera if underlying cause is not contraindicated.
",,,"Autoimmune Disorders
Temporal arteritis
",
,Vitiligo,"Vitiligo is a condition that causes depigmentation of parts of the skin. It occurs when melanocytes, the cells responsible for skin pigmentation, die or are unable to function. The cause of vitiligo is unknown, but research suggests that it may arise from autoimmune or genetic causes.",Accept,,,Autoimmune Disorders,
,Von Recklinghausen’s Disease,,,,,Neurofibromatosis,
,West Nile Virus,"West Nile Virus Outbreak Areas are shown and updated in the United Kingdom’s Geographical Disease Risk Index http://www.transfusionguidelines.org.uk/Index.aspx?Publication=GDRI&Section=66&pageid=7631
The Centers for Disease Control and Prevention (CDC) also have valuable current information on disease outbreaks by geography http://www.cdc.gov/ 

West Nile virus (WNV) is a mosquito-borne zoonotic arbovirus belonging to the genus Flavivirus in the family Flaviviridae (similar to Dengue Fever).
Approximately 80% of West Nile virus infections in humans are subclinical, which cause no symptoms. In the cases where symptoms do occur—termed West Nile fever in cases without neurological disease—the time from infection to the appearance of symptoms (incubation period) is typically between 2 and 15 days. Symptoms may include fever, headaches, fatigue, muscle pain or aches, malaise, nausea, anorexia, vomiting, myalgias and rash. Less than 1% of the cases are severe and result in neurological disease when the central nervous system is affected. People of advanced age, the very young, or those with immunosuppression, either medically induced, such as those taking immunosupressive drugs, or due to a pre-existing medical condition such as HIV infection, are most susceptible to developing West Nile meningitis, West Nile meningoencephalitis and West Nile poliomyelitis.
The problem can vary both in relation to geography and the time of the year so it is not possible to state areas from which donors need to be deferred.
","Accept 4 months after their return from an affected area. This may be reduced to 4 weeks if they have had no symptoms or evidence of infection. For donors under four weeks from return, accept if a validated NAT of WNV is negative.
Must not donate if:
a) It is less than 6 months from a donor’s return from a WNV outbreak area and the donor has been diagnosed with WNV
b) It is less than 6 months from a donor’s return from a WNV outbreak area and the donor has either had a history of symptoms suggestive of WNV while there or within 28 days of their return
c) In other cases it is less than 4 weeks from a donor’s return from a WNV outbreak area.
",,WNV,,
,Whooping Cough,"Pertussis — commonly called whooping cough is a highly contagious bacterial disease caused by Bordetella pertussis.
Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing.
Common complications of the disease include pneumonia, encephalopathy, earache, or seizures.
Most healthy older children and adults will have a full recovery from pertussis, however those with comorbid conditions can have a higher risk of morbidity and mortality. Infection in newborns is particularly severe.",,,,"Infection – Acute
Infectious Diseases – Contact with
",
,Wilson's Disease,"Wilson's disease or hepatolenticular degeneration is an autosomal recessive genetic disorder in which copper accumulates in tissues; this manifests as neurological or psychiatric symptoms and liver disease. It is treated with medication that reduces copper absorption or removes the excess copper from the body, but occasionally a liver transplant is required.",Accept,, Hepatolenticular degeneration,,
,Xenotransplantation,"Any procedure that involves the transplantation, implantation or infusion into a human recipient of either
a) live cells, tissues, or organs from a non-human animal.
b) Human body fluids, cells, tissues or organs that have had ex vivo contact with live, non-human animals cells, tissues and organs.
Biological products, drugs, or medical devices sourced from non-living cells, tissues or organs from non-human animals (including but not limited to porcine heart valves and porcine insulin) are not considered xenotransplantation products.

Advisory
Sexual partners of xenotransplant recipients, current and former, should not donate. Particularly when the recipient is immunosuppressed there is a risk of passing on infections that would not normally affect humans.","Must not donate if:
The donor has been a recipient of viable non-human animal cells or tissue.",,,Tissue Product/Tissue Grafts (Animal derived),
